site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
La Salle,Italy,110.92 km,Aug Apr Jul Oct Nov Jun Mar Sep,74,0,2,13,43,Aug:0 Apr:0 Mar:0 Jul:0 Oct:0 Nov:0 Jun:0 Dec:0 Sep:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.08367%2045.76638&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.08367,45.76638
mendatica,Italy,11.71 km,Dec Nov,74,0,0,0,20,Dec:1 Jan:1 Nov:0 Oct:0 Sep:0 Feb:0 May:0 Aug:0 Jun:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.79702%2044.0917&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.79702,44.0917
Kalmberg Gosau,Austria,39.35 km,Oct Nov Sep Aug,74,0,0,0,10,Oct:1 Nov:1 Sep:0 Aug:0 Jun:0 May:0 Apr:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.56735%2047.6124&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.56735,47.6124
Burgspitz,Austria,34.9 km,Oct Sep Jul May Jun,74,0,0,0,3,Jul:1 Oct:1 Jun:1 May:0 Sep:0 Nov:0 Apr:0 Aug:0 Dec:0 Mar:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.57223%2047.8446&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.57223,47.8446
Herlisberg,Switzerland,42.02 km,May Mar,73,0,0,0,8,Mar:0 May:0 Feb:0 Aug:0 Oct:0 Jun:0 Jul:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.23363%2047.19853&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.23363,47.19853
Illhorn,Switzerland,36.36 km,Aug Sep Jul Jun Nov,73,0,0,0,12,Sep:1 Aug:1 Nov:0 Jun:0 Jul:0 May:0 Mar:0 Oct:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.61757%2046.2548&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.61757,46.2548
Diavolezza,Switzerland,318.81 km,Jun Jan Oct Nov Apr May Aug Jul Mar Sep Feb,73,11,15,20,29,Nov:1 Oct:0 Jun:0 Apr:0 Jan:0 May:0 Mar:0 Sep:0 Aug:0 Jul:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.97855%2046.4091&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.97855,46.4091
Ritom,Switzerland,131.91 km,Jun Jul Aug Sep May,73,0,6,43,55,Jul:1 Sep:0 Aug:0 Jun:0 Oct:0 May:0 Jan:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.67388%2046.53358&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.67388,46.53358
Col du Banchet,France,127.72 km,Mar Jul Jun May Feb Apr Aug,73,0,2,10,31,May:0 Mar:0 Apr:0 Jul:0 Jun:0 Aug:0 Feb:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.731617%2045.5667&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.731617,45.5667
Le banchet,France,109.06 km,Apr Mar May Aug,73,0,2,10,31,May:0 Mar:0 Apr:0 Jul:0 Jun:0 Aug:0 Feb:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.73073%2045.5662&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.73073,45.5662
Gurnigel,Switzerland,222.89 km,May Jul Mar Apr Jun Aug Jan,72,1,1,12,44,Aug:0 Jun:0 Mar:0 Jul:0 May:0 Apr:0 Sep:0 Feb:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.45772%2046.73387&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.45772,46.73387
Fisetengrat,Switzerland,173.93 km,Jun Apr Aug Nov Mar Jul Sep Dec,72,0,6,11,32,Jun:1 Apr:0 Aug:0 Nov:0 Jul:0 Dec:0 Sep:0 May:0 Feb:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.93658%2046.88673&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.93658,46.88673
site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Penegal,Italy,204.41 km,Apr Mar May Jun Feb Jul Nov Dec Oct Aug Jan,72,2,23,40,61,Apr:1 Mar:1 May:0 Jun:0 Feb:0 Dec:0 Nov:0 Jul:0 Jan:0 Aug:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.207283%2046.427067&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.207283,46.427067
Hohmattli,Switzerland,43.78 km,Jul Jun May Aug Sep,71,0,0,0,12,Jul:1 Aug:1 Jun:1 Sep:0 May:0 Apr:0 Mar:0 Oct:0 Dec:0 Nov:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.31605%2046.67172&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.31605,46.67172
Defereggen,Austria,304.2 km,Aug Jul,71,31,47,59,66,Aug:1 Jun:0 Jul:0 May:0 Apr:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.1998%2046.90118&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.1998,46.90118
Maisberg,Austria,13.66 km,Jul Oct May Jun Sep Aug Jan Apr Mar Feb Dec,71,0,0,0,0,Oct:1 Sep:0 Aug:0 Jul:0 May:0 Jun:0 Mar:0 Apr:0 Dec:0 Feb:0 Jan:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.884087%2047.934103&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.884087,47.934103
Umhausen Bichl,Austria,109.6 km,Jun Oct Apr May Mar Sep Feb Jul Aug Jan Dec Nov,71,0,1,1,7,Mar:0 Oct:0 Jun:0 Apr:0 Feb:0 Sep:0 May:0 Dec:0 Aug:0 Jul:0 Nov:0 Jan:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.9491%2047.13163&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.9491,47.13163
Plaine-Morte,Switzerland,70.18 km,Jul Aug Dec,70,0,0,2,14,Jul:1 Dec:1 Aug:1 Apr:0 Mar:0 Feb:0 Jan:0 Sep:0 Oct:0 Jun:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.486467%2046.370517&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.486467,46.370517
Leobnerberg,Austria,135.03 km,Aug Jun Sep Oct Nov Jul Mar May Apr Dec,70,0,3,15,34,Oct:0 Jun:0 Nov:0 Sep:0 Aug:0 Jul:0 May:0 Dec:0 Apr:0 Mar:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.650338%2047.494332&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.650338,47.494332
Valerette,Switzerland,84.36 km,Sep May Jun,69,0,0,2,4,Sep:1 Jun:1 Nov:0 May:0 Feb:0 Jan:0 Aug:0 Jul:0 Dec:0 Apr:0 Mar:0 Oct:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.948057%2046.206393&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.948057,46.206393
Arisdorf,Switzerland,24.34 km,Jul Jun Aug Mar Apr Sep May Jan Feb Oct,69,0,0,0,2,Jun:1 Aug:0 Jul:0 Apr:0 Mar:0 May:0 Feb:0 Jan:0 Sep:0 Oct:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.77252%2047.5058&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.77252,47.5058
Vrše-Porezen,Slovenia,170.37 km,Aug Jun May Jul Oct,69,0,3,8,49,Jun:0 Jul:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.993%2046.1623&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.993,46.1623
Le Bouant,France,41.23 km,Apr Sep Mar Jul Jun May Oct Jan Feb Aug,69,0,0,0,9,Apr:1 Sep:0 Mar:0 May:0 Jun:0 Oct:0 Jul:0 Aug:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.83925%2046.1612&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.83925,46.1612
Silvretta - ...,Austria,93.5 km,Jul Aug Sep,69,0,0,5,11,Aug:1 Jul:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.2031%2046.963&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.2031,46.963
Campagnora,Switzerland,92.97 km,Mar Apr Jun May Oct Aug Feb Jul Jan,68,0,0,8,26,Jun:1 Mar:0 Sep:0 Apr:0 May:0 Oct:0 Aug:0 Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.912383%2046.496683&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.912383,46.496683
Dof,Italy,136.02 km,Apr Mar May Jun Aug Jul Feb Oct Jan Sep,68,0,11,28,50,Mar:1 May:0 Apr:0 Jun:0 Aug:0 Jul:0 Jan:0 Feb:0 Oct:0 Sep:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.0588%2046.1505&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.0588,46.1505
Pleschnitzzi...,Austria,49.2 km,Aug Sep Oct Jul Jun Nov,68,0,0,0,7,Sep:1 Oct:0 Aug:0 Jul:0 Jun:0 Nov:0 May:0 Feb:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.85498%2047.37558&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.85498,47.37558
Hüttstett,Switzerland,62.19 km,Apr Jul Jun Aug,67,0,0,1,20,Apr:1 Aug:1 Jul:1 Jun:1 Sep:0 May:0 Oct:0 Mar:0 Dec:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.19442%2046.78793&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.19442,46.78793
Porlezza,Italy,25.4 km,Jun,67,0,0,0,2,Jun:0 Aug:0 Dec:0 Sep:0 Jul:0 May:0 Mar:0 Jan:0 Apr:0 Feb:0 Nov:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.1299%2046.053967&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.1299,46.053967
Montemezzo,Italy,187.68 km,Oct May Apr Jul Aug Jun Mar Sep Nov Dec Jan Feb,67,0,5,19,31,Aug:0 Apr:0 Jul:0 Jun:0 Oct:0 Sep:0 May:0 Nov:0 Dec:0 Mar:0 Jan:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.358307%2046.203492&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.358307,46.203492
Hochanger,Austria,46.64 km,Aug,67,0,0,0,12,Aug:1 Jul:1 Jun:0 Nov:0 Oct:0 May:0 Dec:0 Apr:0 Sep:0 Mar:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.31628%2047.60563&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.31628,47.60563
